Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VSTOXX,EURIBOR3M,Daily_STIR,Option_Price
2023-10-31,4061.12,0.008724429865381042,0.13849603052773776,0.197076,0.0395999999999999,0.00015714285714285675,0.8916819286539521
2023-11-01,4091.71,0.008811533702533647,0.13987876107580935,0.186508,0.0395499999999999,0.00015694444444444404,0.9073535976415315
2023-11-02,4169.62,0.008775610736511707,0.13930850166911007,0.177337,0.0395999999999999,0.00015714285714285675,0.9208678583113397
2023-11-03,4174.67,0.01152893482359989,0.18301616654830577,0.168411,0.0395999999999999,0.00015714285714285675,1.210844161040768
2023-11-06,4158.64,0.010329439680130278,0.16397477145760372,0.168258,0.0395999999999999,0.00015714285714285675,1.0808346475546387
2023-11-07,4153.37,0.009622352335213686,0.1527501078385022,0.166816,0.0395999999999999,0.00015714285714285675,1.0056604237515785
2023-11-08,4178.49,0.008903411275007041,0.14133727232278284,0.1604769999999999,0.0396999999999999,0.00015753968253968216,0.9362503806282803
2023-11-09,4229.2,0.00863829559167584,0.13712869132223895,0.157657,0.0397499999999999,0.00015773809523809485,0.919436811014748
2023-11-10,4197.36,0.009555769956746587,0.15169314534776346,0.160383,0.03985,0.00015813492063492063,1.0092966816378066
2023-11-13,4232.19,0.009562426744962495,0.15179881858466177,0.158653,0.0398999999999999,0.00015833333333333294,1.0183815762029553
2023-11-14,4291.72,0.009424846216367732,0.14961479540122244,0.150266,0.0397499999999999,0.00015773809523809485,1.0178622985804395
2023-11-15,4315.53,0.010515782588266008,0.16693287341864993,0.148085,0.03985,0.00015813492063492063,1.1418285534114148
2023-11-16,4302.45,0.009774608491969749,0.15516709939663226,0.146829,0.0398,0.00015793650793650795,1.0582267843565205
2023-11-17,4340.77,0.009132959498086497,0.14498123739577293,0.138479,0.0398,0.00015793650793650795,0.9976558619046045
2023-11-20,4342.41,0.009224212260700616,0.14642983009372038,0.140106,0.0398,0.00015793650793650795,1.007991112981017
2023-11-21,4331.9,0.008556374290983777,0.13582823098997812,0.14065,0.0398,0.00015793650793650795,0.9328473574978489
2023-11-22,4352.02,0.008180428909524938,0.1298602830746777,0.134844,0.0397499999999999,0.00015773809523809485,0.8960610216313398
2023-11-23,4361.32,0.007964455555069708,0.12643181236044804,0.136417,0.0398,0.00015793650793650795,0.8743059767161867
2023-11-24,4372.1,0.007641240399750924,0.12130093083480434,0.133953,0.0396999999999999,0.00015753968253968216,0.8409502732438341
2023-11-27,4354.41,0.007420312146518388,0.11779380354095718,0.140274,0.03965,0.00015734126984126982,0.8133696790760041
2023-11-28,4348.02,0.007538977404583547,0.11967755611357947,0.141716,0.03965,0.00015734126984126982,0.8251426255933438
2023-11-29,4370.53,0.0073766939994605344,0.11710138692237004,0.141975,0.0395499999999999,0.00015694444444444404,0.8115864966443951
2023-11-30,4382.47,0.007453373877129213,0.11831864224361513,0.13815,0.0395,0.00015674603174603175,0.8222471646104168
2023-12-01,4418.51,0.007298269885365996,0.11585644270626183,0.135043,0.0393,0.00015595238095238097,0.811779121069776
2023-12-04,4414.95,0.007866717449750763,0.12488026803871666,0.141209,0.0394499999999999,0.00015654761904761866,0.8742006729453351
2023-12-05,4452.77,0.007579036326081071,0.12031347177801091,0.139983,0.0394499999999999,0.00015654761904761866,0.8494971608124615
2023-12-06,4483.26,0.008114153149115445,0.1288081879947064,0.140777,0.0395,0.00015674603174603175,0.9156067029243786
2023-12-07,4473.77,0.008186094154345819,0.1299502160481518,0.142078,0.0395499999999999,0.00015694444444444404,0.9217586844056314
2023-12-08,4523.31,0.007887236112720755,0.12520599171544156,0.137018,0.0395499999999999,0.00015694444444444404,0.8979929758033904
2023-12-11,4540.19,0.008837701372342447,0.14029415995603417,0.137103,0.0395499999999999,0.00015694444444444404,1.0097916062491095
2023-12-12,4536.61,0.008368182877304689,0.13284078491314283,0.13205,0.0395,0.00015674603174603175,0.9554640454002765
2023-12-13,4530.19,0.007945426682858156,0.12612973837883729,0.134963,0.0394499999999999,0.00015654761904761866,0.9059801473754305
2023-12-14,4539.16,0.007666457243080017,0.1217012358125975,0.124532,0.03935,0.00015615079365079366,0.8759474336898165
2023-12-15,4549.44,0.007419436923261871,0.11777990980248677,0.121242,0.0393,0.00015595238095238097,0.8496871414845373
2023-12-18,4521.13,0.007252015983831414,0.11512218478249998,0.129116,0.03938,0.00015626984126984126,0.8253801748273872
2023-12-19,4535.4,0.007765048028179267,0.12326631600620887,0.128278,0.0370499999999999,0.00014702380952380913,0.8863769290246637
2023-12-20,4533.82,0.007546553086888981,0.11979781634193035,0.127353,0.03685,0.00014623015873015872,0.8611658319259732
2023-12-21,4524.86,0.007330687418853514,0.11637105509661831,0.135946,0.0368,0.00014603174603174603,0.8349151841198363
2023-12-22,4521.47,0.007263468106048499,0.11530398158672193,0.135645,0.03655,0.00014503968253968253,0.8266427035323431
2023-12-27,4528.38,0.007142650557830108,0.11338606246713143,0.134324,0.03625,0.00014384920634920634,0.8141459758458041
2023-12-28,4514.38,0.007031547198789233,0.11162235132005499,0.135156,0.0360999999999999,0.00014325396825396787,0.7990188543626573
2023-12-29,4521.44,0.007157820820738528,0.1136268829250063,0.135747,0.0362,0.00014365079365079365,0.814620238853422
2024-01-02,4512.81,0.007043109787611919,0.11180590172727652,0.144914,0.0364,0.00014444444444444446,0.8000629704092717
2024-01-03,4448.13,0.007056250594017317,0.11201450556192968,0.154904,0.0364,0.00014444444444444446,0.790064997171612
2024-01-04,4474.01,0.009735530091309917,0.15454674901795193,0.143099,0.0368,0.00014603174603174603,1.0959239651706412
2024-01-05,4463.51,0.009219951530394203,0.14636219309695464,0.141189,0.0368999999999999,0.00014642857142857103,1.035521793472526
2024-01-08,4485.48,0.008665065652274073,0.1375536528597893,0.140017,0.037,0.00014682539682539682,0.9780730685420167
2024-01-09,4467.17,0.008341961494306377,0.13242453336246857,0.136966,0.0370999999999999,0.00014722222222222182,0.9378109557446805
2024-01-10,4468.98,0.008189954080181867,0.1300114904711998,0.1339199999999999,0.03745,0.0001486111111111111,0.9211313325777155
2024-01-11,4442.28,0.007784585116717105,0.12357645767188909,0.139196,0.03745,0.0001486111111111111,0.870373099542121
2024-01-12,4480.02,0.008075427462789584,0.12819343678249526,0.134234,0.0370999999999999,0.00014722222222222182,0.9105002660926402
2024-01-15,4454.68,0.008429866011771254,0.13381997431645576,0.141101,0.0375499999999999,0.00014900793650793613,0.9450456252893673
2024-01-16,4446.51,0.00846697823622763,0.13440911261552763,0.141507,0.0376,0.0001492063492063492,0.9474612493195309
2024-01-17,4403.08,0.00807281331663089,0.12815193849873519,0.15082,0.0379999999999999,0.0001507936507936504,0.8946052653909646
2024-01-18,4453.05,0.009038298657915191,0.14347854314383468,0.145083,0.0381999999999999,0.0001515873015873012,1.012812025472158
2024-01-19,4448.83,0.009637027823045428,0.15298307398553027,0.14172,0.0382999999999999,0.00015198412698412658,1.0787957136153636
2024-01-22,4480.32,0.008900951022058854,0.14129821701800352,0.138453,0.0383499999999999,0.00015218253968253927,1.003555039085768
2024-01-23,4465.91,0.008772005129917828,0.13925126443887245,0.135791,0.0383499999999999,0.00015218253968253927,0.9858553730518906
2024-01-24,4564.11,0.008407452639795827,0.13346417306671957,0.134592,0.0384,0.00015238095238095237,0.965720578094988
