Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Option_Price
2023-07-03,16527.95,0.0064472566377860585,0.1023470262131541,0.1154,0.0717,0.00028452380952380954,2.6872972498495074
2023-07-04,16556.05,0.006377616879963892,0.10124152932979279,0.117,0.0715,0.00028373015873015873,2.6628650421334896
2023-07-05,16597.2,0.006146338467421765,0.09757009835056717,0.118825,0.0715,0.00028373015873015873,2.5730168219124607
2023-07-06,16695.05,0.0059453245871741636,0.09437910192732354,0.1184,0.0715,0.00028373015873015873,2.5038485952591145
2023-07-07,16564.9,0.005927906529451922,0.09410259883299461,0.115325,0.0715,0.00028373015873015873,2.477078312791491
2023-07-10,16553.75,0.006425595811593942,0.10200317125737489,0.114625,0.0715,0.00028373015873015873,2.6824548485274136
2023-07-11,16648.0,0.006221608181696008,0.09876496802191438,0.110125,0.0715,0.00028373015873015873,2.6123834636382526
2023-07-12,16641.05,0.006157903973228214,0.0977536950634704,0.10935,0.0713,0.0002829365079365079,2.58462524535571
2023-07-13,16623.9,0.005970586689614786,0.09478012537123869,0.109375,0.0712,0.00028253968253968254,2.5036923113457306
2023-07-14,16765.45,0.005822493003119039,0.09242921097999962,0.106825,0.0713,0.0002829365079365079,2.4626277341649256
2023-07-17,16872.05,0.006075118738313622,0.09643952020059797,0.11315,0.0714,0.00028333333333333335,2.5854148858015833
2023-07-18,16872.0,0.006078819968811404,0.09649827541325033,0.1171,0.0714,0.00028333333333333335,2.586976575985318
2023-07-19,16953.5,0.005887964880952304,0.09346854481969095,0.116,0.0714,0.00028333333333333335,2.5181579255913675
2023-07-20,17042.55,0.005804523052198658,0.09214394685275544,0.11785,0.0716,0.0002841269841269841,2.495674064333798
2023-07-21,16904.3,0.005757096525246686,0.09139107407758092,0.11485,0.0716,0.0002841269841269841,2.455281310936698
2023-07-24,16865.15,0.006334533278053574,0.10055759835235514,0.116525,0.0715,0.00028373015873015873,2.6943201091562514
